date,volume,open,high,low,close
106/03/21,12157918.00,26.30,26.45,25.60,25.80
106/03/22,11178461.00,25.50,26.45,25.40,25.85
106/03/23,10823355.00,25.95,26.20,25.55,26.00
106/03/24,8285545.00,26.15,26.35,25.90,26.00
106/03/27,23482702.00,26.30,27.25,26.25,26.30
106/03/28,16848879.00,26.60,26.85,26.05,26.65
106/03/29,33831511.00,26.80,28.20,26.55,27.60
106/03/30,21031694.00,27.85,28.15,27.25,27.55
106/03/31,12987548.00,27.60,27.80,27.10,27.15
106/04/05,13398080.00,27.30,27.70,27.00,27.20
106/04/06,9919997.00,27.20,27.30,26.50,26.60
106/04/07,10461949.00,26.70,27.40,26.30,27.40
106/04/10,20036717.00,27.65,27.95,27.45,27.55
106/04/11,11368535.00,27.55,27.65,26.75,26.75
106/04/12,10905360.00,26.70,27.10,26.45,26.70
106/04/13,14578231.00,26.70,27.50,26.60,26.70
106/04/14,8952398.00,26.70,26.70,25.75,25.75
106/04/17,5867000.00,25.80,26.10,25.45,25.55
106/04/18,5196003.00,25.90,26.25,25.80,25.90
106/04/19,3225684.00,26.00,26.35,25.80,25.95
106/04/20,3271867.00,25.85,26.20,25.65,25.65
106/04/21,2850451.00,25.85,25.95,25.65,25.70
106/04/24,5587494.00,25.85,26.50,25.60,26.35
106/04/25,9142213.00,26.50,27.00,26.35,26.40
106/04/26,11514864.00,26.45,27.10,26.30,26.95
106/04/27,8605727.00,26.90,27.05,26.60,26.90
106/04/28,13050999.00,27.10,27.30,26.60,26.60
106/05/02,4884214.00,26.70,26.95,26.40,26.40
106/05/03,4019075.00,26.35,26.75,26.10,26.30
106/05/04,3818786.00,26.30,26.65,26.20,26.45
106/05/05,5691201.00,26.70,26.90,26.55,26.65
106/05/08,7160620.00,26.90,27.15,26.75,27.05
106/05/09,14505995.00,27.30,27.70,26.70,27.55
106/05/10,6879829.00,27.30,27.45,27.10,27.45
106/05/11,5475935.00,27.50,27.55,27.05,27.40
106/05/12,44903800.00,27.85,28.65,27.65,27.70
106/05/15,7777904.00,28.00,28.10,27.70,27.80
106/05/16,8386589.00,27.90,27.95,27.20,27.55
106/05/17,9734135.00,27.75,28.20,27.70,28.00
106/05/18,8250088.00,27.65,28.40,27.60,28.15
106/05/19,5421326.00,28.20,28.25,27.90,28.05
106/05/22,15848518.00,28.35,29.10,28.25,29.00
106/05/23,31300675.00,29.40,30.85,29.40,30.10
106/05/24,14426543.00,30.30,30.70,29.75,30.70
106/05/25,16959152.00,31.00,31.45,30.05,30.10
106/05/26,10376152.00,30.10,30.50,29.90,30.40
106/05/31,11654518.00,30.75,31.35,30.45,30.90
106/06/01,10974017.00,30.70,31.40,30.60,31.35
106/06/02,12358206.00,31.75,32.35,31.35,31.35
106/06/03,8342214.00,31.55,31.80,30.90,31.55
106/06/05,7136595.00,31.30,31.50,31.05,31.05
106/06/06,11049155.00,30.90,30.95,30.35,30.60
106/06/07,12671204.00,30.90,31.80,30.85,31.35
106/06/08,14526104.00,31.70,32.45,31.45,32.30
106/06/09,32171908.00,33.00,34.15,32.55,33.25
106/06/12,17301342.00,33.15,33.80,32.70,33.80
106/06/13,17248206.00,32.80,33.00,31.80,31.80
106/06/14,19565729.00,31.85,32.15,30.15,31.30
106/06/15,16427199.00,31.60,32.55,31.60,32.20
106/06/16,18713231.00,32.10,32.95,31.70,32.35
106/06/19,7778561.00,32.60,32.70,31.85,31.85
106/06/20,7374465.00,31.85,32.20,31.30,31.30
106/06/21,6220528.00,31.20,31.75,31.10,31.45
106/06/22,6492255.00,31.70,32.30,31.35,31.35
106/06/23,6226244.00,31.35,31.45,30.80,31.00
106/06/26,3871123.00,31.20,31.35,31.00,31.25
106/06/27,3283198.00,31.30,31.45,31.05,31.25
106/06/28,7088032.00,31.15,31.15,30.60,30.60
106/06/29,4914365.00,30.85,30.95,30.30,30.40
106/06/30,3586533.00,30.00,30.70,30.00,30.35
106/07/03,5907823.00,30.35,31.25,30.35,31.20
106/07/04,5774733.00,31.20,31.20,30.35,30.40
106/07/05,3076200.00,30.40,30.70,30.05,30.60
106/07/06,2370922.00,30.65,30.95,30.30,30.80
106/07/07,2016519.00,30.65,30.85,30.55,30.65
106/07/10,2908365.00,30.65,30.85,30.25,30.25
106/07/11,9015289.00,30.00,30.05,29.50,29.55
106/07/12,5109721.00,29.95,30.80,29.85,30.55
106/07/13,4229990.00,30.65,30.80,30.40,30.60
106/07/14,6791924.00,30.70,31.30,30.50,31.00
106/07/17,3779126.00,31.25,31.30,30.80,30.90
106/07/18,2982774.00,30.90,31.25,30.90,30.95
106/07/19,4189852.00,30.95,31.20,30.75,30.80
106/07/20,4632101.00,30.90,30.95,30.10,30.20
106/07/21,2112904.00,30.25,30.40,30.00,30.20
106/07/24,2938518.00,30.00,31.05,30.00,30.90
