date,volume,open,high,low,close
106/01/11,5733170,73.3,73.4,72.2,72.4
106/01/12,11680502,72.9,74,72.8,73.4
106/01/13,9469634,73.5,74.1,72.9,73.4
106/01/16,4296850,73.1,73.4,72.4,72.7
106/01/17,5105226,72.7,73.3,72.6,73
106/01/18,9670215,72.5,73.6,72.2,73.6
106/01/19,5968874,73.1,73.3,72.2,72.4
106/01/20,6321876,72.3,73.6,72.3,72.4
106/01/23,8891273,72.9,74,72.9,73.5
106/01/24,5897597,73.7,73.9,73.2,73.5
106/02/02,24003370,74,75.3,73.8,74.4
106/02/03,8763115,74.6,74.9,74.1,74.5
106/02/06,8046619,74.2,74.7,73.9,74.4
106/02/07,10525305,74,75.3,74,75.1
106/02/08,11816850,74.7,75.5,74.7,75.2
106/02/09,7719792,75.1,75.5,75,75.3
106/02/10,16010450,75.5,77.2,75.4,77.2
106/02/13,8984139,77.1,78.1,77.1,78.1
106/02/14,9661413,78.1,78.2,77.3,77.8
106/02/15,14321113,77.8,79.2,77.5,79
106/02/16,9130929,79.1,80.2,77.2,77.4
106/02/17,7355712,77.4,77.4,76.7,77
106/02/18,2222289,77.2,77.2,76.6,76.7
106/02/20,7900368,76.6,76.9,75,75.3
106/02/21,12208707,74.9,75.7,73.9,74.7
106/02/22,5278635,75.2,75.2,74.2,74.3
106/02/23,7590584,74,74.8,74,74.7
106/02/24,5018279,74.7,75,74,74.6
106/03/01,10129576,74.4,74.4,72.5,72.5
106/03/02,15044182,73.1,73.7,70.6,72
106/03/03,10731020,71.9,72,70.7,70.9
106/03/06,7900158,70.6,71.7,70.6,71.1
106/03/07,4561378,71.4,72.4,71.4,72.4
106/03/08,6924965,72.5,72.6,71.4,71.8
106/03/09,12728514,71.7,71.7,70.2,70.2
106/03/10,10099820,71,71,69.2,69.6
106/03/13,5578531,70.2,70.4,69.4,69.6
106/03/14,7634238,70.2,70.4,69.4,69.7
106/03/15,4614398,69.9,70.2,69.3,69.9
106/03/16,9993468,70.5,71.9,70.3,71.9
106/03/17,11862398,72,72.2,71.1,71.5
106/03/20,3875612,71.1,71.8,71,71.8
106/03/21,6872931,71.7,72.2,71.5,72
106/03/22,5015741,71.5,71.6,70.8,71.6
106/03/23,2467682,71.9,71.9,71.1,71.4
106/03/24,3968666,71.7,71.8,71.3,71.5
106/03/27,7360136,72.5,72.5,72.1,72.3
106/03/28,8523567,72.5,72.6,72,72.6
106/03/29,5310557,72.7,72.8,72.2,72.6
106/03/30,6301575,72.7,72.8,72.3,72.5
106/03/31,6238534,72.5,72.6,71.9,71.9
106/04/05,10983479,71.8,72.1,71.5,72
106/04/06,6139208,72.1,72.2,71.6,71.8
106/04/07,6826585,71.5,71.7,71,71.5
106/04/10,6345130,71.3,71.7,71.1,71.7
106/04/11,5837987,72.1,72.7,71.7,72
106/04/12,4788846,71.9,72,71.4,71.5
106/04/13,5554367,71.9,72.5,71.5,72.4
106/04/14,3631120,72.1,72.5,71.7,72
106/04/17,2890085,71.7,72.2,71.7,72.2
106/04/18,4154183,72.3,72.6,72.1,72.2
106/04/19,7879786,71.4,71.9,71.1,71.1
106/04/20,6972470,71,71.8,70.7,71.2
106/04/21,2741248,71,71.8,71,71.5
106/04/24,9451463,71.9,72.1,71.3,71.5
106/04/25,6793194,71.9,72,71.3,72
106/04/26,12865236,72.5,73.1,72,73.1
106/04/27,5497326,73,73.2,72,72.5
106/04/28,8483215,72.5,73.2,72,72.7
106/05/02,19908315,73.1,73.5,72.8,72.8
106/05/03,3109551,73,73,72.5,72.8
106/05/04,5016695,72.9,72.9,71.9,72.3
106/05/05,10857476,72.1,72.1,70.8,71
106/05/08,4829504,71.3,71.5,70.6,71
106/05/09,8546452,70.8,71,69.9,70.4
106/05/10,7056157,70.5,70.7,69.9,70.1
106/05/11,6608167,70.2,70.5,69.9,70.4
106/05/12,4803407,70.2,70.3,70,70.2
106/05/15,7343694,70.4,70.8,70.4,70.7
106/05/16,10831436,70.9,71,70.4,71
106/05/17,9835922,70.8,71.1,70.3,71.1
106/05/18,8432769,70.5,71.4,70.3,71.4
106/05/19,7382273,71,71.1,70.6,70.7
106/05/22,7289664,70.6,71.6,70.5,71.4
106/05/23,5292559,71.1,71.5,70.8,70.8
106/05/24,4836141,71,71.1,70.8,70.9
106/05/25,7226848,70.9,71.6,70.8,71.4
106/05/26,6705798,71.4,71.7,71.1,71.4
106/05/31,21399994,71.9,71.9,71.2,71.6
106/06/01,7953913,71.6,71.8,71.4,71.5
106/06/02,7438190,71.8,71.8,71,71.3
106/06/03,4710149,71.3,71.4,70.9,71
106/06/05,7961116,71,71.6,71,71.5
106/06/06,8807534,71.5,71.7,71.3,71.7
106/06/07,9844830,71.7,72.3,71.6,71.9
106/06/08,7670545,71.9,72.2,71.7,72
106/06/09,13667649,72,72.2,71.9,72
106/06/12,7101849,71.9,72.4,71.3,71.3
106/06/13,3635685,71.9,72.2,71.5,72.2
106/06/14,5381708,72.4,72.4,71.6,72.3
106/06/15,3369531,72.3,72.3,71.7,72.3
106/06/16,7116692,72.3,72.3,71.8,72
106/06/19,5054691,72,72.3,71.8,72.3
106/06/20,3446351,72.4,72.5,72.2,72.2
106/06/21,9947944,72,72.7,71.7,72.5
106/06/22,7421562,72.5,72.7,72.3,72.5
106/06/23,7170548,72.6,73,72.5,72.8
106/06/26,14669933,73,75,73,75
106/06/27,10555433,75.2,75.6,74.7,74.8
106/06/28,14729101,74.8,75.8,74.6,75.3
106/06/29,6195877,75.4,75.5,74.9,75.4
106/06/30,5406071,75.4,75.5,74.9,75.5
106/07/03,6117498,75.5,75.6,75,75.5
106/07/04,7477419,75.6,75.6,75,75
106/07/05,10130568,75,75.8,74.7,75.8
106/07/06,7843550,75.8,75.8,75.2,75.6
106/07/07,5253242,74.5,75.5,74.5,75.1
106/07/10,5705897,75.1,75.1,74.5,74.6
106/07/11,14541304,74.7,75.8,74.6,75.7
106/07/12,19923666,75.7,78,75.6,77.4
106/07/13,12638005,77.6,77.9,77.5,77.6
106/07/14,10959564,77.6,77.7,77.2,77.3
106/07/17,27306521,77.8,77.8,77.4,77.8
106/07/18,18731025,74,74.2,73.7,74.2
106/07/19,9263550,74.5,74.8,74,74.6
106/07/20,5856512,74.5,75.2,74.3,75
106/07/21,4632996,75,75.1,74.8,74.8
106/07/24,4524097,74.7,75.1,74.1,75.1
106/07/25,2173417,75.2,75.2,74.2,74.5
106/07/26,5976735,74.5,74.8,73.9,74.5
106/07/27,7340854,74.7,75.5,74.4,75.5
106/07/28,4050082,75.4,75.8,75,75.5
106/07/31,6957855,75.7,76,75.2,76
106/08/01,6417576,76.3,76.4,75.8,76
106/08/02,7668044,76.2,76.2,74.7,75.4
106/08/03,6887868,74.2,75.4,74.2,75.4
106/08/04,5853913,75.3,75.8,75.2,75.8
106/08/07,4943783,75.8,76,75.4,76
106/08/08,7588243,75.5,76.5,75.5,76.4
106/08/09,5991663,75.7,76.7,75.6,76.2
106/08/10,5811465,76,76.1,74.8,75.4
106/08/11,6217433,74.6,75.1,74.3,74.8
106/08/14,5760129,74.6,74.8,74,74.1
106/08/15,6957616,74.3,74.5,74,74.5
106/08/16,11407160,74.3,74.3,73.4,73.5
106/08/17,9727701,73.7,74.5,73.7,74.5
106/08/18,7128226,74.4,75.1,73.9,74.9
106/08/21,7622522,75,75.6,74.3,75.6
106/08/22,7140478,75.7,76,75.3,75.6
106/08/23,5903374,75.7,76,75.4,75.8
106/08/24,7853014,75.8,76.2,75.7,76
106/08/25,7111825,75.8,75.8,75.1,75.3
106/08/28,6474581,75.3,76,75.3,76
106/08/29,5976420,75.9,76.2,75.6,76.2
106/08/30,6492126,76.2,76.3,75.9,76.2
106/08/31,4593155,76,76.4,75.9,76.2
106/09/01,3328267,76.2,76.4,75.8,75.8
106/09/04,4914377,75.4,75.7,74.9,75
106/09/05,7402491,75,75.4,74.9,75.3
106/09/06,9145033,76.1,76.1,75,75
106/09/07,8306544,75.8,75.9,75.4,75.5
106/09/08,10347539,74.9,75.7,74.9,75.5
106/09/11,9754981,75.2,75.7,75.2,75.5
106/09/12,10195257,75.5,75.8,75.4,75.5
106/09/13,11256875,75.4,76,75.3,75.5
106/09/14,9654738,75.5,75.7,75.3,75.5
106/09/15,12409516,75.8,75.9,75.4,75.7
106/09/18,9607430,76,76.7,75.9,76.7
106/09/19,9096352,76.8,76.9,76.4,76.5
106/09/20,5996943,76.9,77,76.2,76.5
106/09/21,9243520,76.9,77.3,76.5,76.5
106/09/22,6274652,76.9,77.1,75.9,76.4
106/09/25,6593461,76.9,76.9,75.2,75.4
106/09/26,5878304,75,75.6,75,75.5
106/09/27,5634519,75.5,75.9,75.1,75.1
106/09/28,8678357,74.6,77,73.9,73.9
106/09/29,4880440,74.2,74.9,73.9,74.7
106/09/30,2545973,76.3,76.3,74.7,75
106/10/02,8659298,75,75.1,74.1,74.4
106/10/03,9883491,74.7,74.8,73.8,74
106/10/05,8271185,74.5,74.5,73.3,73.5
106/10/06,8420774,73.3,73.9,73.1,73.4
106/10/11,11628030,74.8,74.8,74.1,74.8
106/10/12,10975802,74.4,75,74,75
106/10/13,5200984,74.5,74.9,74.1,74.2
106/10/16,5724990,74.7,75.3,74.4,75.3
106/10/17,4878270,75.8,75.8,74.7,75.4
106/10/18,5755996,75.2,75.3,74.5,74.7
106/10/19,3497417,74.9,75,74.7,74.7
106/10/20,4077092,74.7,75,74.5,75
106/10/23,3215293,75,75.2,74.2,74.4
106/10/24,2560551,74.8,75,74.3,75
106/10/25,3360249,74.7,74.9,74.1,74.7
106/10/26,2552649,74.2,74.5,74,74.5
106/10/27,3827223,74.2,74.4,74,74.2
106/10/30,3904816,74.1,74.3,73.5,73.6
106/10/31,4479004,73.8,74.4,73.4,74.4
106/11/01,3711068,75.1,75.1,74.4,74.9
106/11/02,3161775,75,75,74.6,75
106/11/03,4325486,75.1,75.1,74.6,75
106/11/06,4607846,74.8,74.9,74.2,74.6
106/11/07,4098087,74.5,75.1,74.5,75.1
106/11/08,4556398,74.8,75.2,74.6,75
106/11/09,6292339,74.9,75.1,74.7,74.7
106/11/10,2945174,74.4,74.7,74.2,74.6
106/11/13,5512908,75,75,74.5,74.7
106/11/14,5833292,74.5,75,74.5,75
106/11/15,6781528,74.7,74.8,74.5,74.7
106/11/16,5363934,74.8,74.9,74.2,74.6
106/11/17,4637447,75.1,75.1,74.6,74.7
106/11/20,3904280,74.7,75,74.7,74.8
106/11/21,5965811,74.8,75.3,74.8,75.2
106/11/22,8707584,75,75.5,75,75.5
106/11/23,5346311,75.9,75.9,75.2,75.5
106/11/24,4250434,75.7,75.7,75.5,75.5
106/11/27,5359420,75.1,76,75.1,75.9
106/11/28,4600959,75.5,76,75.5,75.9
106/11/29,5045428,75.9,76,75.6,75.9
106/11/30,11781200,75.1,75.6,75,75.6
106/12/01,7654750,75.6,75.7,74.6,75
106/12/04,5401330,75.7,75.7,75,75.6
106/12/05,5590569,75.6,75.8,75.3,75.8
106/12/06,5348352,75.6,75.6,74.6,75
106/12/07,5773391,75.3,75.3,74.4,74.5
106/12/08,3775943,74.6,74.7,74.2,74.5
